"id","treatment","Z","russia","warfare","direct","indirect","economic","political","general"
932,"T1","1.000000",1,2,4,4,1.172,1.172,0.828
933,"T0","0.000000",1,1,1,0,1,4,2
934,"T2","1.000000",1,1,0.624,3.376,2.376,3.376,2.624
935,"T2","1.000000",2,2,2.624,4,0.376,2.376,2.624
936,"T0","0.000000",1,3,2,4,4,3,1
937,"T0","0.000000",1,2,3,1,2,3,4
938,"T2","1.000000",2,3,2.624,4,1.376,0.376,0.624
939,"T0","0.000000",2,1,2,0,0,1,1
940,"T1","1.000000",3,1,0.828,0,2.172,0,0
941,"T1","1.000000",2,2,1.828,1.172,4,0.172,0.828
942,"T1","1.000000",1,2,0.828,2.172,2.172,1.172,1.828
943,"T0","0.000000",1,1,1,3,3,1,1
944,"T2","1.000000",1,3,2.624,4,2.376,3.376,4
945,"T0","0.000000",2,2,1,1,4,3,1
946,"T0","0.000000",3,3,2,1,0,0,0
947,"T0","0.000000",3,3,3,0,0,2,3
948,"T0","0.000000",3,2,0,2,2,2,0
949,"T2","1.000000",3,1,0,0.376,0,0.376,0.624
950,"T0","0.000000",2,2,1,4,2,3,2
951,"T1","1.000000",2,2,1.828,0.172,2.172,3.172,0
952,"T0","0.000000",1,1,0,0,1,2,2
953,"T0","0.000000",2,2,3,2,3,1,2
954,"T1","1.000000",1,2,4,4,1.172,2.172,1.828
955,"T1","1.000000",3,3,0,4,1.172,2.172,0
956,"T2","1.000000",1,2,3.624,3.376,3.376,3.376,2.624
957,"T2","1.000000",3,1,0.624,0,3.376,0,0.624
958,"T0","0.000000",1,3,4,2,1,2,4
959,"T2","1.000000",2,3,0.624,4,1.376,0.376,1.624
960,"T0","0.000000",1,3,3,3,3,2,1
961,"T1","1.000000",3,2,2.828,3.172,0,1.172,2.828
962,"T1","1.000000",1,3,3.828,4,2.172,4,1.828
963,"T2","1.000000",3,3,3.624,4,1.376,0.376,1.624
964,"T2","1.000000",3,2,2.624,1.376,0,0.376,0
965,"T0","0.000000",3,2,1,0,0,0,0
966,"T2","1.000000",3,3,0,4,0,3.376,0
967,"T1","1.000000",2,3,1.828,2.172,4,3.172,3.828
968,"T2","1.000000",3,3,0.624,0.376,3.376,3.376,1.624
969,"T0","0.000000",3,1,2,0,3,3,3
970,"T1","1.000000",2,3,1.828,3.172,2.172,2.172,2.828
971,"T0","0.000000",3,2,1,1,3,3,0
972,"T1","1.000000",3,3,0,3.172,2.172,3.172,0
973,"T2","1.000000",1,1,0,4,2.376,4,3.624
974,"T1","1.000000",2,2,2.828,3.172,0.172,1.172,1.828
975,"T1","1.000000",1,1,0,2.172,4,4,0.828
976,"T2","1.000000",3,3,2.624,2.376,3.376,2.376,1.624
977,"T0","0.000000",1,1,1,3,4,3,4
978,"T1","1.000000",1,2,4,4,1.172,1.172,3.828
979,"T1","1.000000",1,3,1.828,4,2.172,4,2.828
980,"T2","1.000000",3,2,0,0.376,0.376,2.376,0
981,"T0","0.000000",1,3,2,2,2,4,3
982,"T1","1.000000",3,1,0,0,1.172,2.172,1.828
983,"T2","1.000000",1,3,2.624,3.376,3.376,2.376,0.624
984,"T0","0.000000",3,3,2,3,3,1,1
985,"T2","1.000000",3,3,2.624,0.376,3.376,0,0
986,"T0","0.000000",1,2,4,2,2,3,4
987,"T0","0.000000",3,1,2,1,1,1,1
988,"T2","1.000000",3,1,0,0.376,1.376,0.376,0
989,"T0","0.000000",1,1,0,3,3,4,1
990,"T2","1.000000",2,2,0.624,2.376,1.376,0.376,0
991,"T2","1.000000",2,1,1.624,2.376,4,0.376,3.624
992,"T0","0.000000",2,1,1,2,4,0,2
993,"T0","0.000000",3,3,2,1,0,0,1
994,"T1","1.000000",1,1,2.828,4,4,2.172,0.828
995,"T2","1.000000",2,3,4,2.376,4,4,0.624
996,"T2","1.000000",1,2,2.624,1.376,1.376,1.376,2.624
997,"T0","0.000000",3,1,0,0,0,0,3
998,"T2","1.000000",3,3,3.624,1.376,1.376,0,0.624
999,"T2","1.000000",1,1,3.624,3.376,4,4,1.624
1000,"T0","0.000000",2,1,0,0,0,3,3
